"63","10.2.1.60","00:eb:48:cf:d9:99","S9_Miner","1-3-5-3","13575.00"
"64","10.2.1.61","5c:c9:6f:ca:45:cd","S9_Miner","1-3-5-4","13581.07"
"65","10.2.1.62","08:95:b7:35:5f:de","S9_Miner","1-4-1-1","13635.37"
"66","10.2.1.63","00:af:02:18:fa:eb","S9_Miner","1-4-1-2","13599.48"
"67","10.2.1.64","08:b3:26:36:b3:6c","S9_Miner","1-4-1-3","13395.39"
"68","10.2.1.66","<incomplete>","S9_Miner","1-4-1-4",
"69","10.2.1.67","68:9e:19:a7:75:94","S9_Miner","1-4-2-1","249.74"
"70","10.2.1.70","14:cc:20:e2:c7:e7","S9_Miner","1-4-2-2",
"71","10.2.1.69","04:a1:51:71:58:ba","S9_Miner","1-4-2-3",
"72","10.2.1.72","14:17:97:80:6b:f8","S9_Miner","1-4-2-4","13202.61"
"73","10.2.1.73","48:e5:fb:a9:56:b1","S9_Miner","1-4-3-1","13430.81"
"74","10.2.1.74","5c:65:a6:79:a7:0a","S9_Miner","1-4-3-2","13386.45"
"75","10.2.1.75","00:25:ea:b9:9b:2d","S9_Miner","1-4-3-3","13644.62"
"76","10.2.1.76","1c:36:fd:9d:33:2a","S9_Miner","1-4-3-4","13177.39"
"77","10.2.1.77","0c:ef:94:64:cf:17","S9_Miner","1-4-4-1","13431.32"
"78","10.2.1.78","04:0f:f3:1e:1c:df","S9_Miner","1-4-4-2","12939.48"
"79","10.2.1.79","08:23:d9:26:29:17","S9_Miner","1-4-4-3","13600.92"
"80","10.2.1.80","3a:fa:73:c6:03:67","S9_Miner","1-4-4-4","13260.22"
"81","10.2.1.81","04:9f:80:c0:a4:0f","S9_Miner","1-4-5-1","13419.77"
"82","10.2.1.82","2e:71:a1:d9:6d:17","S9_Miner","1-4-5-2","12832.34"
"83","10.2.1.83","00:fd:55:6d:46:f8","S9_Miner","1-4-5-3","13221.31"
"84","10.2.1.84","16:d4:cc:68:31:6d","S9_Miner","1-4-5-4","13448.18"
"85","10.2.1.85","52:1f:05:9f:e1:5b","S9_Miner","1-5-1-1","13633.68"
"86","10.2.1.86","02:0a:03:9b:47:2c","S9_Miner","1-5-1-2","13359.16"
"87","10.2.1.87","00:d4:3b:cf:31:c3","S9_Miner","1-5-1-3","13417.99"
"88","10.2.1.88","00:fa:62:db:f9:c2","S9_Miner","1-5-1-4","13459.73"
"89","10.2.1.89","08:86:6c:2c:de:25","S9_Miner","1-5-2-1","12914.32"
"90","10.2.1.90","5a:d4:02:f7:8b:b2","S9_Miner","1-5-2-2","13451.47"
"91","10.2.1.91","46:20:28:e3:38:af","S9_Miner","1-5-2-3","13426.36"
"92","10.2.1.92","02:ff:ec:d5:e8:0c","S9_Miner","1-5-2-4","13339.64"
"93","10.2.1.93","04:3b:d4:87:23:cb","S9_Miner","1-5-3-1","13567.35"
"94","10.2.1.94","00:1f:9f:c3:c1:e9","S9_Miner","1-5-3-2","13384.13"
"95","10.2.1.95","00:3a:72:70:dd:ad","S9_Miner","1-5-3-3","12991.65"
"96","10.2.1.96","34:54:a8:3c:40:20","S9_Miner","1-5-3-4","13457.07"
"97","10.2.1.97","30:4a:47:ad:16:e8","S9_Miner","1-5-4-1","13449.65"
"98","10.2.1.98","08:87:58:7f:fd:1e","S9_Miner","1-5-4-2","13182.15"
"99","10.2.1.99","00:52:c3:16:48:fe","S9_Miner","1-5-4-3","13257.33"
"100","10.2.1.100","10:ed:25:21:5f:63","S9_Miner","1-5-4-4","13184.92"
"101","10.2.1.101","56:50:8c:e7:2c:9d","S9_Miner","1-5-5-1","13366.95"
